Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Ona Batlle,DF,22.0,4,4,390,4.3,0,0.0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,11.0,41.0,27.0,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.25,0.12,0.25
Patricia Guijarro,MF,23.0,4,4,390,4.3,0,0.0,0,0,0,0,0,0,0.4,0.4,1.6,1.9,6.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.09,0.4,0.49,0.09,0.49
Mapi León,DF,26.0,4,4,390,4.3,0,2.0,2,0,0,0,1,0,0.4,0.4,0.6,1.0,8.0,47.0,0.0,0.0,0.46,0.46,0.0,0.46,0.10,0.15,0.25,0.10,0.25
Sandra Paños,GK,29.0,4,4,390,4.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.00,0.0
Irene Paredes,DF,30.0,4,4,390,4.3,1,0.0,1,1,0,0,1,0,0.8,0.8,0.3,1.1,8.0,45.0,1.0,0.23,0.0,0.23,0.23,0.23,0.21,0.06,0.28,0.21,0.28
Aitana Bonmatí,MF,24.0,4,4,378,4.2,1,0.0,1,1,0,0,0,0,0.6,0.6,0.7,1.2,9.0,30.0,35.0,0.24,0.0,0.24,0.24,0.24,0.15,0.18,0.32,0.15,0.32
Mariona Caldentey,MF,25.0,4,4,362,4.0,1,1.0,2,0,1,1,0,0,1.8,1.0,1.4,2.4,20.0,31.0,40.0,0.25,0.25,0.5,0.0,0.25,0.44,0.36,0.8,0.25,0.6
Leila Ouahabi,DF,28.0,3,3,195,2.2,0,0.0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,6.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12
Lucía García,FW,23.0,3,3,191,2.1,1,0.0,1,1,0,0,0,0,1.0,1.0,0.0,1.1,3.0,1.0,9.0,0.47,0.0,0.47,0.47,0.47,0.48,0.02,0.5, Matches,
Esther González,FW,29.0,3,2,199,2.2,1,0.0,1,1,0,0,0,0,1.0,1.0,0.3,1.2,2.0,5.0,17.0,0.45,0.0,0.45,0.45,0.45,0.44,0.11,0.56,0.44,0.56
Sheila García,MF,24.0,4,2,188,2.1,0,0.0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,15.0,8.0,33.0,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.3,0.11,0.3
Athenea del Castillo,MF,21.0,4,1,187,2.1,0,1.0,1,0,0,0,0,0,0.3,0.3,0.5,0.7,15.0,2.0,22.0,0.0,0.48,0.48,0.0,0.48,0.14,0.26,0.4,0.14,0.4
Olga Carmona,DF,21.0,2,1,165,1.8,0,1.0,1,0,0,0,0,0,0.2,0.2,0.2,0.4,4.0,5.0,13.0,0.0,0.55,0.55,0.0,0.55,0.16,0.13,0.29,0.16,0.29
Laia Aleixandri,MF,21.0,4,1,161,1.8,0,0.0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
Marta Cardona,MF,26.0,4,1,123,1.4,1,0.0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,6.0,0.0,20.0,0.73,0.0,0.73,0.73,0.73,0.55,0.0,0.55,0.55,0.55
Teresa Abelleira,MF,22.0,1,1,69,0.8,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05
Irene Guerrero,MF,25.0,2,1,67,0.7,0,0.0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.15,0.08,0.23,0.15,0.23
Claudia Pina,FW,20.0,2,0,34,0.4,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.19,0.07,0.19
Amaiur Sarriegi,FW,21.0,1,0,21,0.2,0,0.0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Matches ,,,,
Misa Rodríguez,GK,22.0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,Matches ,,,,,,,,,,,,,
Ivana Andrés,DF,27.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,Matches ,,,,,,,,,,,,,
Dolores Gallardo,GK,28.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,Matches ,,,,,,,,,,,,,
Andrea Pereira,DF,28.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,Matches ,,,,,,,,,,,,,
Squad Total,0,25.5,4,44,390,4.3,6,5.0,11,5,1,1,4,0,8.2,7.4,6.7,14.1,115.0,271.0,270.0,1.38,1.15,2.54,1.15,2.31,1.89,1.54,3.44,1.71,3.26
Opponent Total,0,27.1,4,44,390,4.3,5,3.0,8,5,0,0,5,0,4.3,4.3,3.2,7.5,32.0,91.0,90.0,1.15,0.69,1.85,1.15,1.85,0.98,0.75,1.73,0.98,1.73
