Jugadora, Minutos, Pases, Efectividad de pases , Goles, Asistencias, Tiros, Tiros a Porteria,Ocasiones creadas, Tackles ganados, Intercepciones, Recuperaciones
Teresa Abelleira, 603, 526, 87, 1, 2, 10, 4, 10,10,9,70
Aitana Bonmati, 585, 372, 87, 3, 2, 19, 6, 11,7, 3, 51
Alba Redondo, 394, 120, 63, 3,1,17,8, 4, 3,0,12
Alexia Putellas, 211, 171, 82, 0, 1,5,1,4,0,2,20
Athenea del Castillo, 75,31,71,0,0,2,0,4,0,0,4
Claudia Zornoza, 31,43,74, 0,0,0,0,0,0,1,1
Esther Gonzalez, 236, 58, 81, 1,0,17,5,4,0,0,9
Eva Navarro,136,55,69,0,2,4,2,7,1,1,13
Irene Guerrero, 75, 71,83, 0,0,3,0,2,1,3,13
Irene Paredes,660,537,85,0,0,9,1,1,5,12,51
Ivana Andres, 240,144,86,0,0,4,2,1,0,1,14
Jennifer Hermoso, 647,389,82, 3,2,23,6,14,6,4,39
Maria Perez, 26,10,80, 0,0,0,0,0,0,0,1
Mariona Caldentey, 450, 348, 85,1,1,8,3,10,8,3,45
Oihane Hernández, 302, 207, 83, 0,0,1,0,3,11,3,31
Olga Carmona, 435, 273, 82, 2, 0, 11,4,5,7,9,40
Ona Battle, 613, 472,85,0,1,4,1,10,18,12,66
Rocio Galvez, 90, 104,91, 0,0,0,0,1,0,0,3
Salma Paralluelo, 460,161,79,2,0,19,6,10,6,4,27
